strategy,config,runtime_ms,gflops,cost_estimate_ms
SimulatedAnnealing,split_d4_order_c-a-b-d0-d1_parallel_none_unroll_2,0.409658,5.11928,0.136365
SimulatedAnnealing,split_d4_order_c-a-b-d0-d1_parallel_none_unroll_1,0.401725,5.22037,0.129871
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_1,0.386941,5.41983,0.129871
SimulatedAnnealing,split_d1_order_c-a-b-d0-d1_parallel_none_unroll_1,0.424101,4.94494,0.152789
SimulatedAnnealing,split_d1_order_a-c-b-d0-d1_parallel_none_unroll_1,0.406456,5.1596,0.152789
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_1,0.40742,5.1474,0.129871
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_2,0.418151,5.0153,0.136365
SimulatedAnnealing,split_d4_order_a-c-b-d0-d1_parallel_none_unroll_2,0.410468,5.10917,0.136365
SimulatedAnnealing,split_d4_order_a-c-b-d0-d1_parallel_none_unroll_1,0.439128,4.77572,0.129871
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0555852,37.7286,0.129871
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_16,0.405214,5.17542,0.129919
SimulatedAnnealing,split_d4_order_a-c-b-d0-d1_parallel_none_unroll_16,0.428085,4.89892,0.129919
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_16,0.0589089,35.5999,0.129919
SimulatedAnnealing,split_d4_order_c-b-a-d0-d1_parallel_none_unroll_16,0.0698014,30.0445,0.129919
SimulatedAnnealing,split_d2_order_c-b-a-d0-d1_parallel_none_unroll_16,0.0703422,29.8136,0.129919
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_16,0.0545015,38.4788,0.129919
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_8,0.0530908,39.5012,0.129919
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_8,0.0565972,37.054,0.129919
SimulatedAnnealing,split_d4_order_a-c-b-d0-d1_parallel_none_unroll_8,0.404014,5.19079,0.129919
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_4,0.0566207,37.0386,0.129919
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_4,0.05948,35.2581,0.129919
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_2,0.0597877,35.0767,0.129919
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0595896,35.1932,0.123732
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0611284,34.3073,0.145568
SimulatedAnnealing,split_d1_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0534058,39.2682,0.145568
SimulatedAnnealing,split_d16_order_a-b-c-d0-d1_parallel_d0_unroll_1,1444.51,0.0014518,0.142039
SimulatedAnnealing,split_d16_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0632491,33.157,0.122789
SimulatedAnnealing,split_d16_order_a-b-c-d0-d1_parallel_none_unroll_2,0.229576,9.13491,0.128928
SimulatedAnnealing,split_d16_order_b-a-c-d0-d1_parallel_none_unroll_2,0.219413,9.55799,0.128928
SimulatedAnnealing,split_d8_order_b-a-c-d0-d1_parallel_none_unroll_2,0.219826,9.54006,0.128928
SimulatedAnnealing,split_d4_order_b-a-c-d0-d1_parallel_none_unroll_2,0.220716,9.50157,0.128928
SimulatedAnnealing,split_d2_order_b-a-c-d0-d1_parallel_none_unroll_2,0.0546687,38.3611,0.128928
SimulatedAnnealing,split_d2_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0587303,35.7082,0.122789
SimulatedAnnealing,split_d1_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0511815,40.9748,0.144457
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0556368,37.6936,0.144457
SimulatedAnnealing,split_d2_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0611744,34.2815,0.122789
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_1,0.429829,4.87904,0.122789
SimulatedAnnealing,split_d1_order_a-c-b-d0-d1_parallel_none_unroll_1,0.416081,5.04024,0.144457
SimulatedAnnealing,split_d1_order_c-a-b-d0-d1_parallel_none_unroll_1,0.4075,5.14639,0.144457
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_1,0.402783,5.20665,0.122789
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_2,0.4056,5.1705,0.128928
SimulatedAnnealing,split_d4_order_c-a-b-d0-d1_parallel_none_unroll_2,0.411964,5.09063,0.128928
SimulatedAnnealing,split_d4_order_c-b-a-d0-d1_parallel_none_unroll_2,0.274649,7.63576,0.128928
SimulatedAnnealing,split_d2_order_b-a-c-d0-d1_parallel_none_unroll_1,0.053407,39.2674,0.131961
SimulatedAnnealing,split_d1_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0497281,42.1724,0.155248
SimulatedAnnealing,split_d1_order_c-a-b-d0-d1_parallel_none_unroll_1,0.391732,5.35354,0.155248
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_1,0.402633,5.20859,0.131961
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_2,0.41192,5.09116,0.138559
SimulatedAnnealing,split_d2_order_b-a-c-d0-d1_parallel_none_unroll_2,0.0506204,41.429,0.138559
SimulatedAnnealing,split_d4_order_b-a-c-d0-d1_parallel_none_unroll_2,0.223457,9.38502,0.138559
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_2,0.242808,8.63708,0.138559
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_2,0.0558664,37.5387,0.138559
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0551573,38.0213,0.131961
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0552539,37.9548,0.155248
SimulatedAnnealing,split_d1_order_a-c-b-d0-d1_parallel_none_unroll_1,0.41563,5.04572,0.155248
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_1,0.429469,4.88312,0.131961
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_2,0.387551,5.4113,0.138559
SimulatedAnnealing,split_d2_order_b-c-a-d0-d1_parallel_none_unroll_2,0.0568992,36.8573,0.138559
SimulatedAnnealing,split_d16_order_c-b-a-d0-d1_parallel_none_unroll_2,0.282964,7.41138,0.136934
SimulatedAnnealing,split_d8_order_c-b-a-d0-d1_parallel_none_unroll_2,0.272777,7.68816,0.136934
SimulatedAnnealing,split_d4_order_c-b-a-d0-d1_parallel_none_unroll_2,0.275297,7.61778,0.136934
SimulatedAnnealing,split_d2_order_c-b-a-d0-d1_parallel_none_unroll_2,0.068728,30.5138,0.136934
SimulatedAnnealing,split_d2_order_c-b-a-d0-d1_parallel_none_unroll_1,0.0678958,30.8878,0.130413
SimulatedAnnealing,split_d1_order_c-b-a-d0-d1_parallel_none_unroll_1,0.0679013,30.8853,0.153427
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0562081,37.3105,0.153427
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0525806,39.8845,0.130413
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_2,0.0517765,40.5039,0.136934
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_2,0.237257,8.83914,0.136934
SimulatedAnnealing,split_d4_order_b-a-c-d0-d1_parallel_none_unroll_2,0.240198,8.73095,0.136934
SimulatedAnnealing,split_d4_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0534817,39.2125,0.130413
SimulatedAnnealing,split_d4_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0560765,37.3981,0.130413
SimulatedAnnealing,split_d4_order_c-b-a-d0-d1_parallel_none_unroll_1,0.0702845,29.838,0.130413
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0557394,37.6243,0.130413
SimulatedAnnealing,split_d4_order_a-c-b-d0-d1_parallel_none_unroll_1,0.402804,5.20638,0.130413
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_8,0.0584535,35.8773,0.133118
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_4,0.0527943,39.7231,0.133118
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_2,0.264176,7.93845,0.133118
SimulatedAnnealing,split_d4_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0558442,37.5536,0.126779
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0547189,38.3259,0.126779
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_2,0.0528883,39.6524,0.133118
SimulatedAnnealing,split_d2_order_c-b-a-d0-d1_parallel_none_unroll_2,0.0709816,29.545,0.133118
SimulatedAnnealing,split_d4_order_c-b-a-d0-d1_parallel_none_unroll_2,0.291867,7.1853,0.133118
SimulatedAnnealing,split_d4_order_c-b-a-d0-d1_parallel_none_unroll_1,0.0704353,29.7742,0.126779
SimulatedAnnealing,split_d2_order_c-b-a-d0-d1_parallel_none_unroll_1,0.0680335,30.8253,0.126779
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_1,0.411519,5.09613,0.126779
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_1,0.416548,5.0346,0.126779
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_2,0.433674,4.83578,0.133118
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_2,0.432122,4.85315,0.133118
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0546174,38.3971,0.145408
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_b_unroll_1,1.42287,1.47389,1.41233
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0552461,37.9602,0.123597
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_2,0.0543956,38.5537,0.129777
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_b_unroll_2,1.42224,1.47454,1.26524
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_2,0.232408,9.0236,0.152679
SimulatedAnnealing,split_d1_order_a-c-b-d0-d1_parallel_none_unroll_2,0.437088,4.79801,0.152679
SimulatedAnnealing,split_d1_order_a-c-b-d0-d1_parallel_c_unroll_2,1.47826,1.41866,1.48075
SimulatedAnnealing,split_d1_order_a-c-b-d0-d1_parallel_none_unroll_1,0.428832,4.89038,0.145408
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0553453,37.8922,0.145408
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_c_unroll_1,1.43407,1.46237,1.41233
SimulatedAnnealing,split_d2_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0543829,38.5627,0.123597
SimulatedAnnealing,split_d2_order_b-c-a-d0-d1_parallel_c_unroll_1,1.43189,1.46461,1.20709
SimulatedAnnealing,split_d2_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0528397,39.6889,0.123597
SimulatedAnnealing,split_d2_order_b-a-c-d0-d1_parallel_none_unroll_2,0.0532429,39.3884,0.129777
SimulatedAnnealing,split_d1_order_b-a-c-d0-d1_parallel_none_unroll_2,0.22093,9.49238,0.152679
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_none_unroll_2,0.245561,8.54026,0.152679
SimulatedAnnealing,split_d2_order_b-c-a-d0-d1_parallel_none_unroll_2,0.0598843,35.02,0.129777
SimulatedAnnealing,split_d2_order_b-c-a-d0-d1_parallel_b_unroll_2,0.0481323,43.5705,1.26524
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0544418,38.521,0.147248
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_2,0.231025,9.07761,0.154611
SimulatedAnnealing,split_d1_order_c-b-a-d0-d1_parallel_none_unroll_1,0.0683336,30.6899,0.147248
SimulatedAnnealing,split_d1_order_c-b-a-d0-d1_parallel_c_unroll_1,0.0545314,38.4577,1.42996
SimulatedAnnealing,split_d1_order_c-b-a-d0-d1_parallel_c_unroll_2,0.0783306,26.7731,1.49924
SimulatedAnnealing,split_d1_order_c-b-a-d0-d1_parallel_b_unroll_2,1.50497,1.39349,1.49924
SimulatedAnnealing,split_d1_order_c-b-a-d0-d1_parallel_a_unroll_2,45.3552,0.0462384,1.49924
SimulatedAnnealing,split_d1_order_c-b-a-d0-d1_parallel_none_unroll_2,0.274459,7.64103,0.154611
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_none_unroll_2,0.261076,8.03271,0.154611
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_d0_unroll_2,0.261076,8.03271,0.168018
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_d0_unroll_1,0.0568453,36.8923,0.162128
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_b_unroll_1,0.0509059,41.1967,1.42996
SimulatedAnnealing,split_d2_order_b-c-a-d0-d1_parallel_b_unroll_1,0.0495958,42.2849,1.22212
SimulatedAnnealing,split_d2_order_b-c-a-d0-d1_parallel_a_unroll_1,45.42,0.0461724,1.22212
SimulatedAnnealing,split_d2_order_b-a-c-d0-d1_parallel_b_unroll_1,0.0479714,43.7168,1.22212
SimulatedAnnealing,split_d2_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0506211,41.4284,0.125161
SimulatedAnnealing,split_d1_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0525752,39.8886,0.147248
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0568453,36.8923,0.147248
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_a_unroll_1,45.581,0.0460094,1.42996
SimulatedAnnealing,split_d2_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0576899,36.3522,0.125161
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0551403,38.033,0.142454
SimulatedAnnealing,split_d1_order_a-c-b-d0-d1_parallel_none_unroll_1,0.414704,5.05698,0.142454
SimulatedAnnealing,split_d1_order_a-c-b-d0-d1_parallel_b_unroll_1,45.4354,0.0461568,1.38441
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_1,0.395439,5.30335,0.121086
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_b_unroll_1,46.112,0.0454795,1.18334
SimulatedAnnealing,split_d2_order_a-c-b-d0-d1_parallel_none_unroll_2,0.399544,5.24887,0.12714
SimulatedAnnealing,split_d1_order_a-c-b-d0-d1_parallel_none_unroll_2,0.424689,4.93809,0.149577
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_none_unroll_2,0.232904,9.00436,0.149577
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0553917,37.8604,0.142454
SimulatedAnnealing,split_d1_order_b-a-c-d0-d1_parallel_none_unroll_1,0.050131,41.8335,0.142454
SimulatedAnnealing,split_d2_order_b-a-c-d0-d1_parallel_none_unroll_1,0.0548896,38.2067,0.121086
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0525724,39.8908,0.121086
SimulatedAnnealing,split_d2_order_a-b-c-d0-d1_parallel_none_unroll_2,0.0540432,38.8051,0.12714
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_2,0.252023,8.32127,0.149577
SimulatedAnnealing,split_d1_order_b-a-c-d0-d1_parallel_none_unroll_2,0.220211,9.52338,0.149577
SimulatedAnnealing,split_d1_order_c-a-b-d0-d1_parallel_none_unroll_2,0.406526,5.15872,0.149577
SimulatedAnnealing,split_d1_order_c-a-b-d0-d1_parallel_none_unroll_1,0.406935,5.15353,0.142454
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_1,0.426808,4.91357,0.121086
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_none_unroll_2,0.42225,4.96661,0.12714
SimulatedAnnealing,split_d2_order_c-a-b-d0-d1_parallel_a_unroll_2,1.5011,1.39708,1.24031
SimulatedAnnealing,split_d1_order_a-b-c-d0-d1_parallel_none_unroll_1,0.0545789,38.4242,0.1457
SimulatedAnnealing,split_d1_order_a-c-b-d0-d1_parallel_none_unroll_1,0.403735,5.19438,0.1457
SimulatedAnnealing,split_d1_order_b-c-a-d0-d1_parallel_none_unroll_1,0.0593708,35.323,0.1457
